Compounds,Occupation_rank1,%Occupation_rank1,%atoms_rank1,Occupation_rank2,%Occupation_rank2,%atoms_rank2,Occupation_rank3,%Occupation_rank3,%atoms_rank3,Occupation_rank4,%Occupation_rank4,%atoms_rank4,Occupation_rank5,%Occupation_rank5,%atoms_rank5,Occupation_rank6,%Occupation_rank6,%atoms_rank6,Occupation_rank7,%Occupation_rank7,%atoms_rank7,Occupation_rank8,%Occupation_rank8,%atoms_rank8,Occupation_rank9,%Occupation_rank9,%atoms_rank9,Occupation_rank10,%Occupation_rank10,%atoms_rank10
NS-C-142,304.72808837890625,46.38426579209059,100.0,301.680419921875,46.92049132618982,100.0,299.8301696777344,47.24603573476634,100.0,310.0227355957031,45.45269299415589,100.0,297.8114624023437,47.60121950957588,100.0,278.9927978515625,50.91229110153201,100.0,306.8458557128906,46.01165278126792,100.0,322.78240966796875,43.20767745496642,100.0,304.479736328125,46.427962379482686,100.0,383.6628112792969,32.49600512889902,100.0
revumenib,75.88909912109375,86.64760511773058,100.0,80.83209228515625,85.77790449680732,100.0,68.15283203125,88.00877153418085,100.0,113.46893310546876,80.03557797838045,100.0,95.57220458984376,83.1844384736156,100.0,69.38311767578125,87.79230751057244,100.0,58.7396240234375,89.66498925036029,100.0,105.5494384765625,81.42898257505955,100.0,92.31072998046876,83.75828237724899,100.0,81.95367431640625,85.58056645553988,100.0
ziftomenib,156.65966796875,72.43633442655344,100.0,160.94219970703125,71.68283945128513,100.0,135.21783447265625,76.20894249748173,100.0,161.55389404296875,71.57521418737663,100.0,162.796875,71.35651647239996,100.0,163.17132568359375,71.29063331593632,100.0,156.382080078125,72.48517494743308,100.0,172.31658935546875,69.68155937430869,100.0,170.396240234375,70.01943741046442,100.0,191.6561279296875,66.27884200284797,100.0
