Compounds,Affinity_rank1,CNNpose_rank1,CNNaffinity_rank1,Solvation_rank1,Similarity-type1_rank1,Similarity-type2_rank1,Clashing<1.5A_rank1,Final_rank1,Affinity_rank2,CNNpose_rank2,CNNaffinity_rank2,Solvation_rank2,Similarity-type1_rank2,Similarity-type2_rank2,Clashing<1.5A_rank2,Final_rank2,Affinity_rank3,CNNpose_rank3,CNNaffinity_rank3,Solvation_rank3,Similarity-type1_rank3,Similarity-type2_rank3,Clashing<1.5A_rank3,Final_rank3,Affinity_rank4,CNNpose_rank4,CNNaffinity_rank4,Solvation_rank4,Similarity-type1_rank4,Similarity-type2_rank4,Clashing<1.5A_rank4,Final_rank4,Affinity_rank5,CNNpose_rank5,CNNaffinity_rank5,Solvation_rank5,Similarity-type1_rank5,Similarity-type2_rank5,Clashing<1.5A_rank5,Final_rank5,Affinity_rank6,CNNpose_rank6,CNNaffinity_rank6,Solvation_rank6,Similarity-type1_rank6,Similarity-type2_rank6,Clashing<1.5A_rank6,Final_rank6,Affinity_rank7,CNNpose_rank7,CNNaffinity_rank7,Solvation_rank7,Similarity-type1_rank7,Similarity-type2_rank7,Clashing<1.5A_rank7,Final_rank7,Affinity_rank8,CNNpose_rank8,CNNaffinity_rank8,Solvation_rank8,Similarity-type1_rank8,Similarity-type2_rank8,Clashing<1.5A_rank8,Final_rank8,Affinity_rank9,CNNpose_rank9,CNNaffinity_rank9,Solvation_rank9,Similarity-type1_rank9,Similarity-type2_rank9,Clashing<1.5A_rank9,Final_rank9,Affinity_rank10,CNNpose_rank10,CNNaffinity_rank10,Solvation_rank10,Similarity-type1_rank10,Similarity-type2_rank10,Clashing<1.5A_rank10,Final_rank10,Satisfied_count
NS-C-142,-6.97295,0.7044155598,5.6003627777,63.71,0.1666666666666666,0.2,0,1,-6.98404,0.6495787501,5.4573426247,63.27,0.1666666666666666,0.4,0,1,-6.77119,0.6285856366,5.5919575691,65.17,0.1666666666666666,0.2,0,1,-6.67291,0.6250849962,5.7165999413,61.47,0.1666666666666666,0.2,0,1,-7.26969,0.5722789764,5.4469428062,64.75,0.3333333333333333,0.4,0,1,-6.8465,0.5202736855,5.0797023773,61.08,0.1666666666666666,0.4,0,1,-6.69445,0.4038490057,5.3695869446,62.32,0.0,0.2,0,1,-7.75044,0.3873612881,5.510117054,63.79,0.0,0.2,0,1,-6.44584,0.3870901763,5.281894207,62.69,0.1666666666666666,0.2,0,1,-7.28639,0.3802568913,5.1305160522,62.76,0.1666666666666666,0.2,0,1,10
revumenib,-7.93407,0.7100887895,7.5756554604,100.3,0.0,0.0,0,1,-8.58485,0.6876454353,7.5751838684,101.21,0.3333333333333333,0.2,0,1,-8.16153,0.6581614614,7.3235034943,105.2,0.1666666666666666,0.2,0,1,-8.48131,0.5613272786,7.2464461327,102.67,0.1666666666666666,0.2,0,1,-7.90749,0.4437731504,7.0802330971,101.31,0.3333333333333333,0.4,0,1,-7.67832,0.3960565329,6.93491745,103.88,0.0,0.0,0,1,-8.09881,0.3889043629,7.4671611786,104.17,0.0,0.0,0,1,-8.32167,0.3846581578,6.9510669708,103.35,0.0,0.0,0,1,-7.84318,0.3310884237,6.9927463531,103.02,0.0,0.0,0,1,-7.77188,0.3288578987,7.0757441521,104.53,0.0,0.0,0,1,10
ziftomenib,-8.81143,0.5418357253,7.5956168175,108.55,0.1666666666666666,0.2,0,1,-8.42791,0.5246685147,7.6421561241,110.65,0.3333333333333333,0.4,0,1,-8.31725,0.4469017982,7.5335431099,112.1,0.1666666666666666,0.4,0,1,-8.5382,0.4236346185,7.5853824615,111.06,0.0,0.0,0,1,-8.17809,0.3686045408,7.2939338684,108.57,0.1666666666666666,0.2,0,1,-8.3751,0.2703231871,6.9849228859,106.12,0.0,0.2,0,0,-8.41226,0.1852578819,7.0490512848,107.11,0.1666666666666666,0.4,0,0,-8.59995,0.1764714271,6.1172442436,108.9,0.0,0.0,0,0,-8.30938,0.1684126109,6.5238442421,110.3,0.0,0.0,0,0,-9.02874,0.1615399569,7.1518325806,109.29,0.3333333333333333,0.4,0,0,5
