Compounds,Confidence_score_rank1,Occupation_rank1,%Occupation_rank1,%atoms_rank1,Final_rank1,Confidence_score_rank2,Occupation_rank2,%Occupation_rank2,%atoms_rank2,Final_rank2,Confidence_score_rank3,Occupation_rank3,%Occupation_rank3,%atoms_rank3,Final_rank3,Confidence_score_rank4,Occupation_rank4,%Occupation_rank4,%atoms_rank4,Final_rank4,Confidence_score_rank5,Occupation_rank5,%Occupation_rank5,%atoms_rank5,Final_rank5,Confidence_score_rank6,Occupation_rank6,%Occupation_rank6,%atoms_rank6,Final_rank6,Confidence_score_rank7,Occupation_rank7,%Occupation_rank7,%atoms_rank7,Final_rank7,Confidence_score_rank8,Occupation_rank8,%Occupation_rank8,%atoms_rank8,Final_rank8,Confidence_score_rank9,Occupation_rank9,%Occupation_rank9,%atoms_rank9,Final_rank9,Confidence_score_rank10,Occupation_rank10,%Occupation_rank10,%atoms_rank10,Final_rank10,Satisfied_count
NS-C-142,-0.16,297.1669006347656,47.71462767157005,100.0,0,-0.21,296.766845703125,47.78501579692309,100.0,0,-0.29,300.53076171875,47.12276926182943,100.0,0,-0.32,303.7749938964844,46.5519590976746,100.0,0,-0.33,300.27984619140625,47.16691688305552,100.0,0,-0.39,301.9632568359375,46.87072725984059,100.0,0,-0.88,304.0251159667969,46.50795108215903,100.0,0,-2.8,368.2921752929688,35.200409366898846,100.0,0,-2.9,376.3214111328125,33.78769622656503,100.0,0,-2.93,390.5974426269531,31.27588343567505,100.0,0,0
revumenib,-1.75,88.546875,84.42051817344183,100.0,0,-1.93,88.64361572265625,84.40349701565947,100.0,0,-2.09,101.3009033203125,82.17649598257721,100.0,0,-2.09,74.0794677734375,86.96600278781865,100.0,0,-2.3,79.52642822265625,86.00763106291492,100.0,0,-2.41,84.67901611328125,85.10105305661334,100.0,0,-2.49,107.7430419921875,81.04302647998162,100.0,0,-2.55,104.5494384765625,81.60492872591533,100.0,0,-2.82,110.00177001953124,80.6456119777404,100.0,0,-3.25,90.863037109375,84.01299836553929,100.0,0,0
ziftomenib,-1.75,166.86505126953125,70.64073651677309,100.0,0,-1.8,169.411865234375,70.19263440271307,100.0,0,-1.87,169.6490478515625,70.15090303416903,100.0,0,-2.08,182.4027099609375,67.90694527670925,100.0,0,-2.19,183.85614013671875,67.6512198317429,100.0,0,-2.25,185.50518798828125,67.36107620968347,100.0,0,-2.27,184.65899658203125,67.5099603305004,100.0,0,-2.54,193.1430053710937,66.01723164023822,100.0,0,-2.68,179.38482666015625,68.43793022721366,100.0,0,-2.86,154.13958740234375,72.87973290205908,100.0,0,0
