Compounds,Occupation_rank1,%Occupation_rank1,%atoms_rank1,Occupation_rank2,%Occupation_rank2,%atoms_rank2,Occupation_rank3,%Occupation_rank3,%atoms_rank3,Occupation_rank4,%Occupation_rank4,%atoms_rank4,Occupation_rank5,%Occupation_rank5,%atoms_rank5,Occupation_rank6,%Occupation_rank6,%atoms_rank6,Occupation_rank7,%Occupation_rank7,%atoms_rank7,Occupation_rank8,%Occupation_rank8,%atoms_rank8,Occupation_rank9,%Occupation_rank9,%atoms_rank9,Occupation_rank10,%Occupation_rank10,%atoms_rank10
NS-C-142,297.1669006347656,47.71462767157005,100.0,296.766845703125,47.78501579692309,100.0,300.53076171875,47.12276926182943,100.0,303.7749938964844,46.5519590976746,100.0,300.27984619140625,47.16691688305552,100.0,301.9632568359375,46.87072725984059,100.0,304.0251159667969,46.50795108215903,100.0,368.2921752929688,35.200409366898846,100.0,376.3214111328125,33.78769622656503,100.0,390.5974426269531,31.275883435675052,100.0
revumenib,88.546875,84.42051817344183,100.0,88.64361572265625,84.40349701565947,100.0,101.3009033203125,82.17649598257721,100.0,74.0794677734375,86.96600278781865,100.0,79.52642822265625,86.00763106291492,100.0,84.67901611328125,85.10105305661334,100.0,107.7430419921875,81.04302647998162,100.0,104.5494384765625,81.60492872591533,100.0,110.00177001953124,80.6456119777404,100.0,90.863037109375,84.01299836553929,100.0
ziftomenib,166.86505126953125,70.64073651677309,100.0,169.411865234375,70.19263440271307,100.0,169.6490478515625,70.15090303416903,100.0,182.4027099609375,67.90694527670925,100.0,183.85614013671875,67.6512198317429,100.0,185.50518798828125,67.36107620968347,100.0,184.65899658203125,67.5099603305004,100.0,193.14300537109372,66.01723164023822,100.0,179.38482666015625,68.43793022721366,100.0,154.13958740234375,72.87973290205908,100.0
